"district","county","subcounty","school_name","ownership","year","gender","s1","s2","s3","s4","s5","s6","total","location_code","facility_id"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2019","Boys","30.0","35.0","28.0","24.0","0.0","0.0","117.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2019","Girls","55.0","40.0","12.0","14.0","0.0","0.0","121.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2019","Boys","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2019","Girls","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2019","Boys","135.0","139.0","144.0","77.0","0.0","0.0","495.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2019","Girls","144.0","126.0","124.0","83.0","0.0","0.0","477.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2019","Boys","78.0","80.0","65.0","41.0","10.0","13.0","287.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2019","Girls","89.0","72.0","51.0","43.0","2.0","5.0","262.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2019","Boys","39.0","20.0","25.0","17.0","5.0","0.0","106.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2019","Girls","38.0","32.0","19.0","13.0","7.0","0.0","109.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
