"district","county","subcounty","parish","year","school_name","ownership","gender","p1","p2","p3","p4","p5","p6","p7","total","location_code","facility_id"
"Masindi","Bujenje","Bikonzi","Bikonzi","2014","Ikoba Boys Primary School","Government","Boys","30","41","20","34","49","35","26.0","235","D02S12P01","ikoba-boys-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2014","Alimugonza Primary School","Government","Boys","101","70","97","78","58","42","22.0","468","D02S05P02","alimugonza-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2014","Bokwe Primary School","Government","Boys","82","91","82","73","68","51","25.0","472","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Bujenje","Budongo","Nyabyeya","2014","Budongo Saw Mill Primary School","Government","Boys","21","19","29","34","39","39","20.0","201","D02S22P04","budongo-saw-mill-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2014","Bulima Primary School","Government","Boys","62","73","62","49","57","34","21.0","358","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Budongo","Bwinamira","2014","Bulyango Public Primary School","Government","Boys","107","52","119","63","35","30","17.0","423","D02S22P01","bulyango-public-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2014","Byerima Primary School","Government","Boys","35","22","38","39","43","24","11.0","212","D02S13P03","byerima-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2014","Ikoba Girls Primary School","Government","Boys","0","0","0","0","0","0","0.0","0","D02S12P01","ikoba-girls-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2014","Isagara Primary School","Government","Boys","48","70","50","44","38","36","28.0","314","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2014","Isimba Primary School","Government","Boys","24","32","27","25","20","19","8.0","155","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2014","Kabango Primary School","Government","Boys","247","158","240","223","120","52","49.0","1089","D02S20P01","kabango-primary-school_masindi"
